slug,title,category
"almacenamiento-android-guia","Cómo entender el almacenamiento de Android","Almacenamiento"
"android-lento-que-revisar","Android está lento: diagnóstico paso a paso","Rendimiento"
"android-no-actualiza-que-revisar","Android no actualiza: qué revisar","Android"
"android-sin-espacio-que-hacer","Android se quedó sin espacio: plan de recuperación","Almacenamiento"
"apk-no-se-instala-que-hacer","Una APK no se instala: causas y comprobaciones","APK"
"apk-que-es-y-para-que-sirve","Qué es un APK y para qué sirve","APK"
"apk-vs-aab-explicado","APK vs AAB: diferencias explicadas","APK"
"app-se-cierra-sola-android","Una app se cierra sola en Android: cómo investigarlo","Diagnóstico"
"arm64-vs-armeabi-v7a","ARM64 vs armeabi-v7a: qué significa la arquitectura","APK"
"bateria-android-se-calienta","Android se calienta: qué revisar","Batería"
"bateria-android-se-descarga-rapido","La batería de Android dura poco: cómo investigarlo","Batería"
"bluetooth-android-no-conecta","Bluetooth no conecta: guía de diagnóstico","Conectividad"
"como-comparar-dos-apks","Cómo comparar dos APK de forma responsable","Comparativas"
"como-comprobar-modelo-telefono-android","Cómo comprobar el modelo exacto de un teléfono Android","Android"
"como-desinstalar-app-sin-perder-datos","Cómo desinstalar una app sin perder datos importantes","Mantenimiento"
"como-detectar-app-obsoleta","Cómo detectar una aplicación que ya no recibe mantenimiento","Mantenimiento"
"como-diagnosticar-app-android","Cómo diagnosticar una aplicación Android que falla","Diagnóstico"
"como-documentar-version-de-una-app","Cómo documentar la versión de una aplicación","Diagnóstico"
"como-elegir-una-app-segura","Cómo elegir una aplicación con mejores señales de confianza","Seguridad"
"como-evaluar-una-apk","Cómo evaluar una APK antes de instalarla","Seguridad"
"como-hacer-capturas-para-soporte-tecnico","Cómo preparar capturas para pedir ayuda técnica","Diagnóstico"
"como-hacer-una-comparativa-de-apps","Cómo comparar aplicaciones sin caer en listas vacías","Comparativas"
"como-leer-un-mensaje-de-error-android","Cómo leer un mensaje de error de Android","Diagnóstico"
"como-liberar-espacio-android","Cómo liberar espacio en Android sin borrar lo importante","Almacenamiento"
"como-mejorar-wifi-en-android","Cómo mejorar una conexión Wi‑Fi en Android","Conectividad"
"como-organizar-fotos-android","Cómo organizar fotos en Android sin perder recuerdos","Almacenamiento"
"como-preparar-android-para-viaje","Cómo preparar Android antes de un viaje","Mantenimiento"
"como-proteger-cuenta-google-en-android","Cómo proteger la cuenta principal usada en Android","Seguridad"
"como-reiniciar-redes-android-cuando-conviene","Cuándo conviene restablecer ajustes de red en Android","Conectividad"
"como-revisar-actualizaciones-apps","Cómo revisar actualizaciones de tus aplicaciones","Mantenimiento"
"como-revisar-apps-en-segundo-plano","Aplicaciones en segundo plano: qué significa realmente","Batería"
"como-revisar-permisos-apps","Cómo revisar permisos de tus aplicaciones","Privacidad"
"como-saber-que-version-de-android-tienes","Cómo saber qué versión de Android tienes","Android"
"compatibilidad-aplicaciones-android","Cómo saber si una aplicación es compatible con tu Android","Android"
"copias-seguridad-android","Cómo hacer una copia de seguridad antes de cambiar de teléfono","Copias de seguridad"
"datos-moviles-android-no-funcionan","Los datos móviles no funcionan: qué revisar","Conectividad"
"firma-digital-de-aplicaciones-android","Qué es la firma de una aplicación Android","Seguridad"
"glosario-apk-android","Glosario esencial de APK, Android y seguridad","Recursos"
"guia-limpieza-segura-android","Limpieza segura de Android: qué sí y qué no borrar","Mantenimiento"
"modo-ahorro-bateria-android","Modo ahorro de batería en Android: qué cambia","Batería"
"notificaciones-android-no-llegan","Las notificaciones no llegan: causas comunes","Android"
"permisos-android-explicados","Permisos de Android explicados sin complicaciones","Privacidad"
"privacidad-android-guia","Guía práctica de privacidad en Android","Privacidad"
"que-hacer-si-una-app-pide-demasiados-permisos","Qué hacer si una app pide permisos que no esperabas","Seguridad"
"que-significa-parche-seguridad-android","Qué significa el parche de seguridad de Android","Seguridad"
"que-son-los-splits-apk","Qué son los APK divididos o splits","APK"
"ram-vs-almacenamiento","RAM vs almacenamiento: diferencia sencilla","Android"
"transferir-datos-android","Cómo transferir datos a otro Android","Copias de seguridad"
"ubicacion-android-privacidad","Ubicación en Android: qué revisar por privacidad","Privacidad"
"wifi-android-no-conecta","Android no conecta al Wi‑Fi: qué revisar","Conectividad"
